,Image_Name,Roundness,Contour Area,Defection,Status
0,IMG_5062.JPG,round,39053.5,no defection,QUALIFY
1,IMG_5063.JPG,round,39335.5,no defection,QUALIFY
2,IMG_5064.JPG,round,38857.0,no defection,QUALIFY
3,IMG_5065.JPG,round,38841.5,no defection,QUALIFY
4,IMG_5066.JPG,round,39725.5,no defection,QUALIFY
5,IMG_5067.JPG,round,38950.0,DEFECTED,REJECT
6,IMG_5068.JPG,round,38860.0,DEFECTED,REJECT
7,IMG_5069.JPG,NOT round,38120.0,no defection,REJECT
8,IMG_5070.JPG,round,38964.0,DEFECTED,REJECT
9,IMG_5071.JPG,NOT round,38459.5,no defection,REJECT
10,IMG_5072.JPG,round,38750.0,DEFECTED,REJECT
11,IMG_5073.JPG,NOT round,36466.5,no defection,REJECT
12,IMG_5074.JPG,round,38255.0,DEFECTED,REJECT
13,IMG_5075.JPG,NOT round,37715.0,DEFECTED,REJECT
14,IMG_5076.jpg,Significant not round,-,-,REJECT
15,IMG_5077.jpg,Significant not round,-,-,REJECT
16,IMG_5078.jpg,Significant not round,-,-,REJECT
17,IMG_5079.jpg,Significant not round,-,-,REJECT
